id_ligand,smiles,docking_score,HeavyAtoms,valid,MW,LogP,HBD,HBA,RotB,TPSA,CNS_MPO,logBB_est,SA_score,QED,ScaffoldSize,Fsp3,RingCount,pains_alerts,reos_alerts,cyp2d6_inhib,cyp3a4_inhib,herg_blocker,hepatotox,ames_mutagen,human_t12,pgp_efflux,bcrp_efflux,bbb_prob,cLogD_74,pKa_basic,logS,Kp_uu_brain,GSH_reactivity,MAOB_inhib,BACE1_selectivity,HT2A_binding,Lipinski_Pass,BBB_Rule3_Pass,LE,LLE,BEI,activity_xgb
lig_615,CC[C@H](C)c1ccc(NC(=O)Cc2noc(-c3cn4c(n3)CC[C@@H](C)C4)n2)cc1,-7.068,29,True,393.21647510400004,4.210100000000003,1,6,6,85.84,2.0,-0.3314967999999995,3.424976834914345,0.6778947074143404,24,0.45454545454545453,4,1,0,0.4726060000000002,0.6154512950208003,0.5647070000000002,0.5098925900416003,0.32050500000000015,47.680800000000026,3.470472950208001,2.656246475104001,0.4651280000000002,3.7101000000000033,10.5,-7.037214751040002,0.580926,0.0,0.32840400000000014,0.5312492950208002,0.4205050000000002,True,True,0.24372413793103448,2.8578999999999963,17.974831797499373,5.75730037689209
lig_616,CC[C@@H](C)CC(=O)N1CC[C@H](NC(=O)c2cnc3onc(C)c3c2)C1,-6.228,25,True,344.184840628,2.29812,1,5,5,88.33,5.0,-0.6589697600000001,3.2779490174368338,0.8989277015752897,17,0.5555555555555556,3,0,0,0.3378872,0.45268656812560004,0.4108684,0.3755611362512,0.21490599999999999,33.38496,2.6076176812560004,2.033620840628,0.30718959999999995,1.89812,10.0,-5.5909084062800005,0.46122719999999995,0.0,0.2419248,0.4067241681256,0.31490599999999996,True,True,0.24911999999999998,3.92988,18.094928261908294,6.305518627166748
lig_617,CC(C)c1cccc(O[C@@H](C)C(=O)N[C@H](C)c2cccc(-n3cnnc3)c2)c1,-6.934,28,True,378.2055760720001,4.035400000000003,1,5,7,69.03999999999999,3.0,-0.10941119999999963,3.0746961758324396,0.6737325484423841,23,0.3181818181818182,3,0,0,0.4421240000000002,0.5984731152144003,0.5324780000000001,0.4934062304288003,0.30177000000000015,47.28320000000002,3.3705711521440014,2.588825576072001,0.4847520000000003,3.635400000000003,10.0,-6.799755760720002,0.6040440000000002,0.0,0.3114160000000001,0.5177651152144003,0.4017700000000001,True,True,0.24764285714285714,2.8985999999999974,18.333944390814466,5.501055717468262
lig_618,Cc1ccc2c(c1)[C@@H](Nc1cnc3[nH]cnc3c1)C(=O)N2,-6.321,21,True,279.112010036,2.371619999999999,3,4,2,82.7,4.0,-0.28647376000000024,3.1981139044662825,0.6722516953199118,20,0.13333333333333333,4,1,0,0.32229719999999995,0.44555200200719997,0.39601339999999996,0.35394200401439996,0.208581,34.97295999999999,2.5068720200719996,1.990598010036,0.3243295999999999,2.271619999999999,8.5,-4.97693010036,0.4768972,0.0,0.23486479999999998,0.3981196020072,0.308581,True,False,0.301,3.9493800000000006,22.646821966509837,6.107419013977051
lig_619,Cc1ccc(NC(=O)Nc2cnn(CC(=O)Nc3ccc4c(c3)OCO4)c2)cc1,-7.201,29,True,393.143704088,3.2029200000000007,3,6,5,106.51000000000002,1.0,-0.5125041600000001,2.134074811631116,0.6171592634334214,28,0.15,4,1,0,0.4121752000000001,0.5348623408176001,0.4942044,0.4494326816352001,0.27014600000000005,39.623360000000005,3.067455408176,2.3540197040880004,0.34321360000000006,2.902920000000001,9.5,-6.53289704088,0.47915520000000006,0.0,0.28811680000000006,0.4708039408176001,0.37014600000000003,True,False,0.24831034482758618,3.998079999999999,18.316457633995714,5.971004486083984
lig_620,Cc1cc(NC(=O)c2cnc3c(c2)NC(=O)CS3)cc(C)c1Br,-6.2,23,True,390.999009788,3.7574400000000017,2,4,2,71.09,1.0,-0.04300111999999981,2.696030638358449,0.8167267384104908,20,0.3125,3,1,0,0.40544640000000015,0.5787950019576003,0.4930208000000001,0.48184600391520016,0.2778720000000001,46.05952000000001,3.284974019576001,2.5182310097880007,0.4584152000000001,3.5574400000000015,9.0,-6.788710097880001,0.5832664000000001,0.0,0.29029760000000016,0.5036462019576001,0.3778720000000001,True,True,0.26956521739130435,2.4425599999999985,15.856817651179336,6.028352737426758
lig_621,Cc1cc(F)c(C(=O)N[C@H]2CCN(C(=O)C3CC3)C[C@@H]2O)c(F)c1,-6.065,24,True,338.14419893999997,1.3748199999999997,2,3,3,69.64,3.0,-0.38369936000000004,3.1012506359687233,0.8746730362654913,20,0.7058823529411765,3,0,0,0.24248919999999996,0.37761443978799997,0.3062374,0.31774687957599995,0.14874099999999998,27.998559999999998,2.22621639788,1.75059019894,0.27070559999999994,1.2748199999999996,8.5,-5.0688519894,0.4432091999999999,0.0,0.18499279999999999,0.350118039788,0.24874099999999996,True,False,0.25270833333333337,4.690180000000001,17.93613499510654,5.7929887771606445
lig_622,O=C(Nc1ccccc1-c1cnco1)c1cnc2cc(C3CCNCC3)nn2c1,-6.922,29,True,388.16477388000004,3.1036,2,7,4,97.35000000000001,0.0,-0.5310328000000001,2.8308618803763235,0.557539107667675,29,0.2857142857142857,5,1,0,0.42621600000000004,0.525920954776,0.507252,0.44148190955200006,0.27518000000000004,37.8288,3.01776954776,2.3192447738800004,0.353588,2.6036,10.5,-6.4334477388,0.49151600000000006,0.0,0.294144,0.463848954776,0.37518,True,False,0.23868965517241378,3.8183999999999996,17.832633113018947,6.620213031768799
lig_623,C=CC(C)(C)C(=O)N1CCC(N(C)C(=O)C2(C)CC2)CC1,-5.87,21,True,292.215078136,2.4481,0,2,4,40.620000000000005,6.0,-0.06906480000000001,3.0284500539986023,0.7468028814615345,12,0.7647058823529411,2,0,0,0.28688600000000003,0.45429101562720003,0.361367,0.36377203125440005,0.19240500000000005,37.5848,2.563670156272,2.026645078136,0.414608,2.2481,9.0,-5.14620078136,0.5656460000000001,0.3,0.217924,0.40532901562720003,0.292405,True,True,0.2795238095238095,3.4219,20.087943570345264,5.606146812438965
lig_624,Cc1ncc(CNC(=O)c2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)s1,-6.167,24,True,346.14634694399996,2.3901200000000005,1,6,4,67.35000000000001,6.0,-0.3344817600000002,3.136636894235343,0.9206204974923597,21,0.5294117647058824,3,0,0,0.36340720000000004,0.4604388693888001,0.43730840000000004,0.38186573877760005,0.22950600000000004,33.120960000000004,2.648340693888,2.063182346944,0.3565096,1.8901200000000005,10.5,-5.65652346944,0.5087072,0.0,0.2556048,0.41263646938880005,0.329506,True,True,0.25695833333333334,3.7768799999999993,17.81616375399075,6.074120998382568
lig_625,Cc1cc(C)c(C(=O)NC2CC(N(C)C(=O)c3n[nH]c(C)c3O)C2)[nH]1,-6.243,25,True,345.180089596,1.4016599999999997,4,4,4,114.11000000000001,2.0,-0.7597756800000003,3.1124741982891573,0.6704364129400597,20,0.47058823529411764,3,0,0,0.2640996,0.3811688179192,0.32811619999999997,0.3221716358384,0.16008299999999998,27.213279999999997,2.251024179192,1.7656780895959998,0.1839127999999999,1.4016599999999997,8.0,-5.15263089596,0.35587959999999985,0.0,0.1960664,0.3531356179192,0.26008299999999995,True,False,0.24972000000000003,4.841340000000001,18.086211192849593,5.991127014160156
